origin_ready,target_ready,gps_pos,gps_motion,imu_gyrz,imu_yaw,baro_sink,acc,dr_ready,dr_old,gyro_spike,baro_spike,mode,fail_reason,gps_pos_fresh,gps_motion_fresh,imu_gyrz_fresh,imu_yaw_fresh,baro_sink_fresh,acc_fresh,dr_anchor_valid,dr_current_valid,nav_valid,l1_in_valid,l1_in_reason,l1_out_valid,l1_out_reason,yaw_rate_cmd_dps,yaw_rate_limit_dps,ctrl_valid,ctrl_reason,delta_arm_deg,delta_ff_deg,delta_pid_deg,kp_used,ff_scale,left_pw,right_pw,saturated,gyro_rejected,baro_sink_spike,speed_clamped,dr_speed_source,pid_enabled
True,True,True,True,False,False,False,False,True,False,False,False,GPS_TRACKING_OPEN,GPS_NAV,True,True,False,False,False,False,True,True,True,True,GPS_NAV,True,GPS_NAV,0.0,35.0,True,OK,0.0,0.0,0.0,0.0,1.0,1591,1524,False,False,False,False,,False
True,True,True,True,False,False,False,False,True,True,False,False,GPS_TRACKING_OPEN,GPS_NAV,True,True,False,False,False,False,True,True,True,True,GPS_NAV,True,GPS_NAV,0.0,35.0,True,OK,0.0,0.0,0.0,0.0,1.0,1591,1524,False,False,False,False,,False
True,True,True,True,False,False,False,True,False,False,False,False,GPS_TRACKING_OPEN,GPS_NAV,True,True,False,False,False,True,True,True,True,True,GPS_NAV,True,GPS_NAV,0.0,35.0,True,OK,0.0,0.0,0.0,0.0,1.0,1591,1524,False,False,False,False,,False
True,True,True,True,False,False,False,True,True,False,False,False,GPS_TRACKING_OPEN,GPS_NAV,True,True,False,False,False,True,True,True,True,True,GPS_NAV,True,GPS_NAV,0.0,35.0,True,OK,0.0,0.0,0.0,0.0,1.0,1591,1524,False,False,False,False,,False
True,True,True,True,False,False,False,True,True,True,False,False,GPS_TRACKING_OPEN,GPS_NAV,True,True,False,False,False,True,True,True,True,True,GPS_NAV,True,GPS_NAV,0.0,35.0,True,OK,0.0,0.0,0.0,0.0,1.0,1591,1524,False,False,False,False,,False
True,True,True,True,False,False,True,False,False,False,False,False,GPS_TRACKING_OPEN,GPS_NAV,True,True,False,False,True,False,True,True,True,True,GPS_NAV,True,GPS_NAV,0.0,35.0,True,OK,0.0,0.0,0.0,0.0,1.0,1591,1524,False,False,False,False,,False
True,True,True,True,False,False,True,False,False,False,False,True,GPS_TRACKING_OPEN,GPS_NAV,True,True,False,False,False,False,True,True,True,True,GPS_NAV,True,GPS_NAV,0.0,35.0,True,OK,0.0,0.0,0.0,0.0,1.0,1591,1524,False,False,True,False,,False
True,True,True,True,False,False,True,False,True,False,False,False,GPS_TRACKING_OPEN,GPS_NAV,True,True,False,False,True,False,True,True,True,True,GPS_NAV,True,GPS_NAV,0.0,35.0,True,OK,0.0,0.0,0.0,0.0,1.0,1591,1524,False,False,False,False,,False
True,True,True,True,False,False,True,False,True,False,False,True,GPS_TRACKING_OPEN,GPS_NAV,True,True,False,False,False,False,True,True,True,True,GPS_NAV,True,GPS_NAV,0.0,35.0,True,OK,0.0,0.0,0.0,0.0,1.0,1591,1524,False,False,True,False,,False
True,True,True,True,False,False,True,False,True,True,False,False,GPS_TRACKING_OPEN,GPS_NAV,True,True,False,False,True,False,True,True,True,True,GPS_NAV,True,GPS_NAV,0.0,35.0,True,OK,0.0,0.0,0.0,0.0,1.0,1591,1524,False,False,False,False,,False
True,True,True,True,False,False,True,False,True,True,False,True,GPS_TRACKING_OPEN,GPS_NAV,True,True,False,False,False,False,True,True,True,True,GPS_NAV,True,GPS_NAV,0.0,35.0,True,OK,0.0,0.0,0.0,0.0,1.0,1591,1524,False,False,True,False,,False
True,True,True,True,False,False,True,True,False,False,False,False,GPS_TRACKING_OPEN,GPS_NAV,True,True,False,False,True,True,True,True,True,True,GPS_NAV,True,GPS_NAV,0.0,35.0,True,OK,0.0,0.0,0.0,0.0,1.0,1591,1524,False,False,False,False,,False
True,True,True,True,False,False,True,True,False,False,False,True,GPS_TRACKING_OPEN,GPS_NAV,True,True,False,False,False,True,True,True,True,True,GPS_NAV,True,GPS_NAV,0.0,35.0,True,OK,0.0,0.0,0.0,0.0,1.0,1591,1524,False,False,True,False,,False
True,True,True,True,False,False,True,True,True,False,False,False,GPS_TRACKING_OPEN,GPS_NAV,True,True,False,False,True,True,True,True,True,True,GPS_NAV,True,GPS_NAV,0.0,35.0,True,OK,0.0,0.0,0.0,0.0,1.0,1591,1524,False,False,False,False,,False
True,True,True,True,False,False,True,True,True,False,False,True,GPS_TRACKING_OPEN,GPS_NAV,True,True,False,False,False,True,True,True,True,True,GPS_NAV,True,GPS_NAV,0.0,35.0,True,OK,0.0,0.0,0.0,0.0,1.0,1591,1524,False,False,True,False,,False
True,True,True,True,False,False,True,True,True,True,False,False,GPS_TRACKING_OPEN,GPS_NAV,True,True,False,False,True,True,True,True,True,True,GPS_NAV,True,GPS_NAV,0.0,35.0,True,OK,0.0,0.0,0.0,0.0,1.0,1591,1524,False,False,False,False,,False
True,True,True,True,False,False,True,True,True,True,False,True,GPS_TRACKING_OPEN,GPS_NAV,True,True,False,False,False,True,True,True,True,True,GPS_NAV,True,GPS_NAV,0.0,35.0,True,OK,0.0,0.0,0.0,0.0,1.0,1591,1524,False,False,True,False,,False
True,True,True,True,False,True,False,False,False,False,False,False,GPS_TRACKING_OPEN,GPS_NAV,True,True,False,True,False,False,True,True,True,True,GPS_NAV,True,GPS_NAV,0.0,35.0,True,OK,0.0,0.0,0.0,0.0,1.0,1591,1524,False,False,False,False,,False
True,True,True,True,False,True,False,False,True,False,False,False,GPS_TRACKING_OPEN,GPS_NAV,True,True,False,True,False,False,True,True,True,True,GPS_NAV,True,GPS_NAV,0.0,35.0,True,OK,0.0,0.0,0.0,0.0,1.0,1591,1524,False,False,False,False,,False
True,True,True,True,False,True,False,False,True,True,False,False,GPS_TRACKING_OPEN,GPS_NAV,True,True,False,True,False,False,True,True,True,True,GPS_NAV,True,GPS_NAV,0.0,35.0,True,OK,0.0,0.0,0.0,0.0,1.0,1591,1524,False,False,False,False,,False
True,True,True,True,False,True,False,True,False,False,False,False,GPS_TRACKING_OPEN,GPS_NAV,True,True,False,True,False,True,True,True,True,True,GPS_NAV,True,GPS_NAV,0.0,35.0,True,OK,0.0,0.0,0.0,0.0,1.0,1591,1524,False,False,False,False,,False
True,True,True,True,False,True,False,True,True,False,False,False,GPS_TRACKING_OPEN,GPS_NAV,True,True,False,True,False,True,True,True,True,True,GPS_NAV,True,GPS_NAV,0.0,35.0,True,OK,0.0,0.0,0.0,0.0,1.0,1591,1524,False,False,False,False,,False
True,True,True,True,False,True,False,True,True,True,False,False,GPS_TRACKING_OPEN,GPS_NAV,True,True,False,True,False,True,True,True,True,True,GPS_NAV,True,GPS_NAV,0.0,35.0,True,OK,0.0,0.0,0.0,0.0,1.0,1591,1524,False,False,False,False,,False
True,True,True,True,False,True,True,False,False,False,False,False,GPS_TRACKING_OPEN,GPS_NAV,True,True,False,True,True,False,True,True,True,True,GPS_NAV,True,GPS_NAV,0.0,35.0,True,OK,0.0,0.0,0.0,0.0,1.0,1591,1524,False,False,False,False,,False
True,True,True,True,False,True,True,False,False,False,False,True,GPS_TRACKING_OPEN,GPS_NAV,True,True,False,True,False,False,True,True,True,True,GPS_NAV,True,GPS_NAV,0.0,35.0,True,OK,0.0,0.0,0.0,0.0,1.0,1591,1524,False,False,True,False,,False
True,True,True,True,False,True,True,False,True,False,False,False,GPS_TRACKING_OPEN,GPS_NAV,True,True,False,True,True,False,True,True,True,True,GPS_NAV,True,GPS_NAV,0.0,35.0,True,OK,0.0,0.0,0.0,0.0,1.0,1591,1524,False,False,False,False,,False
True,True,True,True,False,True,True,False,True,False,False,True,GPS_TRACKING_OPEN,GPS_NAV,True,True,False,True,False,False,True,True,True,True,GPS_NAV,True,GPS_NAV,0.0,35.0,True,OK,0.0,0.0,0.0,0.0,1.0,1591,1524,False,False,True,False,,False
True,True,True,True,False,True,True,False,True,True,False,False,GPS_TRACKING_OPEN,GPS_NAV,True,True,False,True,True,False,True,True,True,True,GPS_NAV,True,GPS_NAV,0.0,35.0,True,OK,0.0,0.0,0.0,0.0,1.0,1591,1524,False,False,False,False,,False
True,True,True,True,False,True,True,False,True,True,False,True,GPS_TRACKING_OPEN,GPS_NAV,True,True,False,True,False,False,True,True,True,True,GPS_NAV,True,GPS_NAV,0.0,35.0,True,OK,0.0,0.0,0.0,0.0,1.0,1591,1524,False,False,True,False,,False
True,True,True,True,False,True,True,True,False,False,False,False,GPS_TRACKING_OPEN,GPS_NAV,True,True,False,True,True,True,True,True,True,True,GPS_NAV,True,GPS_NAV,0.0,35.0,True,OK,0.0,0.0,0.0,0.0,1.0,1591,1524,False,False,False,False,,False
True,True,True,True,False,True,True,True,False,False,False,True,GPS_TRACKING_OPEN,GPS_NAV,True,True,False,True,False,True,True,True,True,True,GPS_NAV,True,GPS_NAV,0.0,35.0,True,OK,0.0,0.0,0.0,0.0,1.0,1591,1524,False,False,True,False,,False
True,True,True,True,False,True,True,True,True,False,False,False,GPS_TRACKING_OPEN,GPS_NAV,True,True,False,True,True,True,True,True,True,True,GPS_NAV,True,GPS_NAV,0.0,35.0,True,OK,0.0,0.0,0.0,0.0,1.0,1591,1524,False,False,False,False,,False
True,True,True,True,False,True,True,True,True,False,False,True,GPS_TRACKING_OPEN,GPS_NAV,True,True,False,True,False,True,True,True,True,True,GPS_NAV,True,GPS_NAV,0.0,35.0,True,OK,0.0,0.0,0.0,0.0,1.0,1591,1524,False,False,True,False,,False
True,True,True,True,False,True,True,True,True,True,False,False,GPS_TRACKING_OPEN,GPS_NAV,True,True,False,True,True,True,True,True,True,True,GPS_NAV,True,GPS_NAV,0.0,35.0,True,OK,0.0,0.0,0.0,0.0,1.0,1591,1524,False,False,False,False,,False
True,True,True,True,False,True,True,True,True,True,False,True,GPS_TRACKING_OPEN,GPS_NAV,True,True,False,True,False,True,True,True,True,True,GPS_NAV,True,GPS_NAV,0.0,35.0,True,OK,0.0,0.0,0.0,0.0,1.0,1591,1524,False,False,True,False,,False
True,True,True,True,True,False,False,False,False,False,False,False,GPS_TRACKING_CLOSED,GPS_NAV,True,True,True,False,False,False,True,True,True,True,GPS_NAV,True,GPS_NAV,0.0,59.99999999999999,True,OK,-3.1800000000000006,0.0,-3.1800000000000006,0.53,1.0,1573,1507,False,False,False,False,,True
True,True,True,True,True,False,False,False,False,False,True,False,GPS_TRACKING_OPEN,GPS_NAV,True,True,True,False,False,False,True,True,True,True,GPS_NAV,True,GPS_NAV,0.0,35.0,True,OK,0.0,0.0,0.0,0.0,1.0,1591,1524,False,False,False,False,,False
True,True,True,True,True,False,False,False,True,False,False,False,GPS_TRACKING_CLOSED,GPS_NAV,True,True,True,False,False,False,True,True,True,True,GPS_NAV,True,GPS_NAV,0.0,59.99999999999999,True,OK,-3.1800000000000006,0.0,-3.1800000000000006,0.53,1.0,1573,1507,False,False,False,False,,True
True,True,True,True,True,False,False,False,True,False,True,False,GPS_TRACKING_OPEN,GPS_NAV,True,True,True,False,False,False,True,True,True,True,GPS_NAV,True,GPS_NAV,0.0,35.0,True,OK,0.0,0.0,0.0,0.0,1.0,1591,1524,False,False,False,False,,False
True,True,True,True,True,False,False,False,True,True,False,False,GPS_TRACKING_CLOSED,GPS_NAV,True,True,True,False,False,False,True,True,True,True,GPS_NAV,True,GPS_NAV,0.0,59.99999999999999,True,OK,-3.1800000000000006,0.0,-3.1800000000000006,0.53,1.0,1573,1507,False,False,False,False,,True
True,True,True,True,True,False,False,False,True,True,True,False,GPS_TRACKING_OPEN,GPS_NAV,True,True,True,False,False,False,True,True,True,True,GPS_NAV,True,GPS_NAV,0.0,35.0,True,OK,0.0,0.0,0.0,0.0,1.0,1591,1524,False,False,False,False,,False
True,True,True,True,True,False,False,True,False,False,False,False,GPS_TRACKING_CLOSED,GPS_NAV,True,True,True,False,False,True,True,True,True,True,GPS_NAV,True,GPS_NAV,0.0,59.99999999999999,True,OK,-3.1800000000000006,0.0,-3.1800000000000006,0.53,1.0,1573,1507,False,False,False,False,,True
True,True,True,True,True,False,False,True,False,False,True,False,GPS_TRACKING_OPEN,GPS_NAV,True,True,True,False,False,True,True,True,True,True,GPS_NAV,True,GPS_NAV,0.0,35.0,True,OK,0.0,0.0,0.0,0.0,1.0,1591,1524,False,False,False,False,,False
True,True,True,True,True,False,False,True,True,False,False,False,GPS_TRACKING_CLOSED,GPS_NAV,True,True,True,False,False,True,True,True,True,True,GPS_NAV,True,GPS_NAV,0.0,59.99999999999999,True,OK,-3.1800000000000006,0.0,-3.1800000000000006,0.53,1.0,1573,1507,False,False,False,False,,True
True,True,True,True,True,False,False,True,True,False,True,False,GPS_TRACKING_OPEN,GPS_NAV,True,True,True,False,False,True,True,True,True,True,GPS_NAV,True,GPS_NAV,0.0,35.0,True,OK,0.0,0.0,0.0,0.0,1.0,1591,1524,False,False,False,False,,False
True,True,True,True,True,False,False,True,True,True,False,False,GPS_TRACKING_CLOSED,GPS_NAV,True,True,True,False,False,True,True,True,True,True,GPS_NAV,True,GPS_NAV,0.0,59.99999999999999,True,OK,-3.1800000000000006,0.0,-3.1800000000000006,0.53,1.0,1573,1507,False,False,False,False,,True
True,True,True,True,True,False,False,True,True,True,True,False,GPS_TRACKING_OPEN,GPS_NAV,True,True,True,False,False,True,True,True,True,True,GPS_NAV,True,GPS_NAV,0.0,35.0,True,OK,0.0,0.0,0.0,0.0,1.0,1591,1524,False,False,False,False,,False
True,True,True,True,True,False,True,False,False,False,False,False,GPS_TRACKING_CLOSED,GPS_NAV,True,True,True,False,True,False,True,True,True,True,GPS_NAV,True,GPS_NAV,0.0,59.99999999999999,True,OK,-3.1800000000000006,0.0,-3.1800000000000006,0.53,1.0,1573,1507,False,False,False,False,,True
True,True,True,True,True,False,True,False,False,False,False,True,GPS_TRACKING_CLOSED,GPS_NAV,True,True,True,False,False,False,True,True,True,True,GPS_NAV,True,GPS_NAV,0.0,59.99999999999999,True,OK,-3.1800000000000006,0.0,-3.1800000000000006,0.53,1.0,1573,1507,False,False,True,False,,True
True,True,True,True,True,False,True,False,False,False,True,False,GPS_TRACKING_OPEN,GPS_NAV,True,True,True,False,True,False,True,True,True,True,GPS_NAV,True,GPS_NAV,0.0,35.0,True,OK,0.0,0.0,0.0,0.0,1.0,1591,1524,False,False,False,False,,False
True,True,True,True,True,False,True,False,False,False,True,True,GPS_TRACKING_OPEN,GPS_NAV,True,True,True,False,False,False,True,True,True,True,GPS_NAV,True,GPS_NAV,0.0,35.0,True,OK,0.0,0.0,0.0,0.0,1.0,1591,1524,False,False,True,False,,False
True,True,True,True,True,False,True,False,True,False,False,False,GPS_TRACKING_CLOSED,GPS_NAV,True,True,True,False,True,False,True,True,True,True,GPS_NAV,True,GPS_NAV,0.0,59.99999999999999,True,OK,-3.1800000000000006,0.0,-3.1800000000000006,0.53,1.0,1573,1507,False,False,False,False,,True
True,True,True,True,True,False,True,False,True,False,False,True,GPS_TRACKING_CLOSED,GPS_NAV,True,True,True,False,False,False,True,True,True,True,GPS_NAV,True,GPS_NAV,0.0,59.99999999999999,True,OK,-3.1800000000000006,0.0,-3.1800000000000006,0.53,1.0,1573,1507,False,False,True,False,,True
True,True,True,True,True,False,True,False,True,False,True,False,GPS_TRACKING_OPEN,GPS_NAV,True,True,True,False,True,False,True,True,True,True,GPS_NAV,True,GPS_NAV,0.0,35.0,True,OK,0.0,0.0,0.0,0.0,1.0,1591,1524,False,False,False,False,,False
True,True,True,True,True,False,True,False,True,False,True,True,GPS_TRACKING_OPEN,GPS_NAV,True,True,True,False,False,False,True,True,True,True,GPS_NAV,True,GPS_NAV,0.0,35.0,True,OK,0.0,0.0,0.0,0.0,1.0,1591,1524,False,False,True,False,,False
True,True,True,True,True,False,True,False,True,True,False,False,GPS_TRACKING_CLOSED,GPS_NAV,True,True,True,False,True,False,True,True,True,True,GPS_NAV,True,GPS_NAV,0.0,59.99999999999999,True,OK,-3.1800000000000006,0.0,-3.1800000000000006,0.53,1.0,1573,1507,False,False,False,False,,True
True,True,True,True,True,False,True,False,True,True,False,True,GPS_TRACKING_CLOSED,GPS_NAV,True,True,True,False,False,False,True,True,True,True,GPS_NAV,True,GPS_NAV,0.0,59.99999999999999,True,OK,-3.1800000000000006,0.0,-3.1800000000000006,0.53,1.0,1573,1507,False,False,True,False,,True
True,True,True,True,True,False,True,False,True,True,True,False,GPS_TRACKING_OPEN,GPS_NAV,True,True,True,False,True,False,True,True,True,True,GPS_NAV,True,GPS_NAV,0.0,35.0,True,OK,0.0,0.0,0.0,0.0,1.0,1591,1524,False,False,False,False,,False
True,True,True,True,True,False,True,False,True,True,True,True,GPS_TRACKING_OPEN,GPS_NAV,True,True,True,False,False,False,True,True,True,True,GPS_NAV,True,GPS_NAV,0.0,35.0,True,OK,0.0,0.0,0.0,0.0,1.0,1591,1524,False,False,True,False,,False
True,True,True,True,True,False,True,True,False,False,False,False,GPS_TRACKING_CLOSED,GPS_NAV,True,True,True,False,True,True,True,True,True,True,GPS_NAV,True,GPS_NAV,0.0,59.99999999999999,True,OK,-3.1800000000000006,0.0,-3.1800000000000006,0.53,1.0,1573,1507,False,False,False,False,,True
True,True,True,True,True,False,True,True,False,False,False,True,GPS_TRACKING_CLOSED,GPS_NAV,True,True,True,False,False,True,True,True,True,True,GPS_NAV,True,GPS_NAV,0.0,59.99999999999999,True,OK,-3.1800000000000006,0.0,-3.1800000000000006,0.53,1.0,1573,1507,False,False,True,False,,True
True,True,True,True,True,False,True,True,False,False,True,False,GPS_TRACKING_OPEN,GPS_NAV,True,True,True,False,True,True,True,True,True,True,GPS_NAV,True,GPS_NAV,0.0,35.0,True,OK,0.0,0.0,0.0,0.0,1.0,1591,1524,False,False,False,False,,False
True,True,True,True,True,False,True,True,False,False,True,True,GPS_TRACKING_OPEN,GPS_NAV,True,True,True,False,False,True,True,True,True,True,GPS_NAV,True,GPS_NAV,0.0,35.0,True,OK,0.0,0.0,0.0,0.0,1.0,1591,1524,False,False,True,False,,False
True,True,True,True,True,False,True,True,True,False,False,False,GPS_TRACKING_CLOSED,GPS_NAV,True,True,True,False,True,True,True,True,True,True,GPS_NAV,True,GPS_NAV,0.0,59.99999999999999,True,OK,-3.1800000000000006,0.0,-3.1800000000000006,0.53,1.0,1573,1507,False,False,False,False,,True
True,True,True,True,True,False,True,True,True,False,False,True,GPS_TRACKING_CLOSED,GPS_NAV,True,True,True,False,False,True,True,True,True,True,GPS_NAV,True,GPS_NAV,0.0,59.99999999999999,True,OK,-3.1800000000000006,0.0,-3.1800000000000006,0.53,1.0,1573,1507,False,False,True,False,,True
True,True,True,True,True,False,True,True,True,False,True,False,GPS_TRACKING_OPEN,GPS_NAV,True,True,True,False,True,True,True,True,True,True,GPS_NAV,True,GPS_NAV,0.0,35.0,True,OK,0.0,0.0,0.0,0.0,1.0,1591,1524,False,False,False,False,,False
True,True,True,True,True,False,True,True,True,False,True,True,GPS_TRACKING_OPEN,GPS_NAV,True,True,True,False,False,True,True,True,True,True,GPS_NAV,True,GPS_NAV,0.0,35.0,True,OK,0.0,0.0,0.0,0.0,1.0,1591,1524,False,False,True,False,,False
True,True,True,True,True,False,True,True,True,True,False,False,GPS_TRACKING_CLOSED,GPS_NAV,True,True,True,False,True,True,True,True,True,True,GPS_NAV,True,GPS_NAV,0.0,59.99999999999999,True,OK,-3.1800000000000006,0.0,-3.1800000000000006,0.53,1.0,1573,1507,False,False,False,False,,True
True,True,True,True,True,False,True,True,True,True,False,True,GPS_TRACKING_CLOSED,GPS_NAV,True,True,True,False,False,True,True,True,True,True,GPS_NAV,True,GPS_NAV,0.0,59.99999999999999,True,OK,-3.1800000000000006,0.0,-3.1800000000000006,0.53,1.0,1573,1507,False,False,True,False,,True
True,True,True,True,True,False,True,True,True,True,True,False,GPS_TRACKING_OPEN,GPS_NAV,True,True,True,False,True,True,True,True,True,True,GPS_NAV,True,GPS_NAV,0.0,35.0,True,OK,0.0,0.0,0.0,0.0,1.0,1591,1524,False,False,False,False,,False
True,True,True,True,True,False,True,True,True,True,True,True,GPS_TRACKING_OPEN,GPS_NAV,True,True,True,False,False,True,True,True,True,True,GPS_NAV,True,GPS_NAV,0.0,35.0,True,OK,0.0,0.0,0.0,0.0,1.0,1591,1524,False,False,True,False,,False
True,True,True,True,True,True,False,False,False,False,False,False,GPS_TRACKING_CLOSED,GPS_NAV,True,True,True,True,False,False,True,True,True,True,GPS_NAV,True,GPS_NAV,0.0,59.99999999999999,True,OK,-3.1800000000000006,0.0,-3.1800000000000006,0.53,1.0,1573,1507,False,False,False,False,,True
True,True,True,True,True,True,False,False,False,False,True,False,GPS_TRACKING_OPEN,GPS_NAV,True,True,True,True,False,False,True,True,True,True,GPS_NAV,True,GPS_NAV,0.0,35.0,True,OK,0.0,0.0,0.0,0.0,1.0,1591,1524,False,False,False,False,,False
True,True,True,True,True,True,False,False,True,False,False,False,GPS_TRACKING_CLOSED,GPS_NAV,True,True,True,True,False,False,True,True,True,True,GPS_NAV,True,GPS_NAV,0.0,59.99999999999999,True,OK,-3.1800000000000006,0.0,-3.1800000000000006,0.53,1.0,1573,1507,False,False,False,False,,True
True,True,True,True,True,True,False,False,True,False,True,False,GPS_TRACKING_OPEN,GPS_NAV,True,True,True,True,False,False,True,True,True,True,GPS_NAV,True,GPS_NAV,0.0,35.0,True,OK,0.0,0.0,0.0,0.0,1.0,1591,1524,False,False,False,False,,False
True,True,True,True,True,True,False,False,True,True,False,False,GPS_TRACKING_CLOSED,GPS_NAV,True,True,True,True,False,False,True,True,True,True,GPS_NAV,True,GPS_NAV,0.0,59.99999999999999,True,OK,-3.1800000000000006,0.0,-3.1800000000000006,0.53,1.0,1573,1507,False,False,False,False,,True
True,True,True,True,True,True,False,False,True,True,True,False,GPS_TRACKING_OPEN,GPS_NAV,True,True,True,True,False,False,True,True,True,True,GPS_NAV,True,GPS_NAV,0.0,35.0,True,OK,0.0,0.0,0.0,0.0,1.0,1591,1524,False,False,False,False,,False
True,True,True,True,True,True,False,True,False,False,False,False,GPS_TRACKING_CLOSED,GPS_NAV,True,True,True,True,False,True,True,True,True,True,GPS_NAV,True,GPS_NAV,0.0,59.99999999999999,True,OK,-3.1800000000000006,0.0,-3.1800000000000006,0.53,1.0,1573,1507,False,False,False,False,,True
True,True,True,True,True,True,False,True,False,False,True,False,GPS_TRACKING_OPEN,GPS_NAV,True,True,True,True,False,True,True,True,True,True,GPS_NAV,True,GPS_NAV,0.0,35.0,True,OK,0.0,0.0,0.0,0.0,1.0,1591,1524,False,False,False,False,,False
True,True,True,True,True,True,False,True,True,False,False,False,GPS_TRACKING_CLOSED,GPS_NAV,True,True,True,True,False,True,True,True,True,True,GPS_NAV,True,GPS_NAV,0.0,59.99999999999999,True,OK,-3.1800000000000006,0.0,-3.1800000000000006,0.53,1.0,1573,1507,False,False,False,False,,True
True,True,True,True,True,True,False,True,True,False,True,False,GPS_TRACKING_OPEN,GPS_NAV,True,True,True,True,False,True,True,True,True,True,GPS_NAV,True,GPS_NAV,0.0,35.0,True,OK,0.0,0.0,0.0,0.0,1.0,1591,1524,False,False,False,False,,False
True,True,True,True,True,True,False,True,True,True,False,False,GPS_TRACKING_CLOSED,GPS_NAV,True,True,True,True,False,True,True,True,True,True,GPS_NAV,True,GPS_NAV,0.0,59.99999999999999,True,OK,-3.1800000000000006,0.0,-3.1800000000000006,0.53,1.0,1573,1507,False,False,False,False,,True
True,True,True,True,True,True,False,True,True,True,True,False,GPS_TRACKING_OPEN,GPS_NAV,True,True,True,True,False,True,True,True,True,True,GPS_NAV,True,GPS_NAV,0.0,35.0,True,OK,0.0,0.0,0.0,0.0,1.0,1591,1524,False,False,False,False,,False
True,True,True,True,True,True,True,False,False,False,False,False,GPS_TRACKING_CLOSED,GPS_NAV,True,True,True,True,True,False,True,True,True,True,GPS_NAV,True,GPS_NAV,0.0,59.99999999999999,True,OK,-3.1800000000000006,0.0,-3.1800000000000006,0.53,1.0,1573,1507,False,False,False,False,,True
